long,lat
153.0242023,-29.1944006
152.965632,-29.057304
153.032432,-29.011527
153.14279,-28.967884
153.101445,-28.823379
153.1233,-28.742677
153.149534,-28.730539
153.181088,-28.720017
153.29363,-28.726067
153.289754,-28.928794
153.392324,-28.791952
153.44007,-28.774929
153.442747,-28.760784
153.40949,-28.648987
153.407635,-28.725241
153.142887,-28.968032
153.124055,-29.213969
